,,,,,,,,,,
,,,,,,,,,,
Sl. No.,Name of NGOs,Address,Reg. No,Reg. Date,Renewed on,Valid till,District,Country,Remarks,
147,Ashaash Mohila Unnayan Sangstha,"5, Circuit House Road, Ramna, Dhaka",0849,09-08-94,09-08-99,09-08-04,Dhaka,Bangladesh,,
148,Ashar Alo,"Vill+Post: Shakhipur, Upazilla: Debhatta, Dist.: Satkhira Phone: 0471-64017",2135,21-09-06,21-09-11,21-09-16,Sathkhira,Bangladesh,,
149,Ashar Alo Society,"8/1, Awaronga road (2nd Floor), Block-A, Mohammadpur, Dhaka- 1207.
Phone: 9133968, Fax: 8115433",2181,28-12-06,28-12-11,28-12-16,Dhaka,Bangladesh,,
150,Ashirbad,"401/11, New Eskaton Road, Moghbazar, Dhaka
Phone : 9348356",1540,25-06-00,25-06-15,25-06-20,Dhaka,Bangladesh,,
151,Asho Jati Gori,"Housing State, Goalchamot, Faridpur.
Phone: 0631-62212
www.eshojatigor.com",1755,02-11-02,02-11-12,02-11-17,Faridpur,Bangladesh,,
152,Asho Samaj Gori (ASG),"South Kurigram, Ratanganj, Narail- 7501
Phone: 0481-62917",0568,03-12-91,02-12-11,02-12-16,Narail,Bangladesh,,
153,ASHOKA : Innovators for the Public,"House-19/1, (2nd floor), R-15(New), 28(Old), Dhanmondi R/A, Dhaka.
Phone : 8115868",0403,13-11-90,10-11-01,10-11-06,Dhaka,USA,,
154,Ashokta Punarbashan Sangstha,"Luxmipur, Jhoutala More, Rajpara, Rajshahi-6000
Phone: 0721-810745",2571,16-05-10,16-05-15,16-05-20,Rajshahi,Bangladesh,,
155,Ashokti Punarbashan Nibash (APON),"9/7 Iqbal Road, Mohammadpur, Dhaka.
Phone: 8152020 www.aponbd.org",1333,11-01-99,11-01-09,11-01-14,Dhaka,Bangladesh,,
156,Ashraf Foundation,"Chowgacha Bazar, Chowgacha, Jessore
Phone : 04224-56645, Fax: 04224-
56645",1192,05-10-97,05-10-12,05-10-17,Jessore,Bangladesh,,
157,ASHRAI,"6/5, Block-B, Lalmatia, Dhaka-1207 Phone : 9113358",0555,12-11-91,12-11-11,12-11-16,Dhaka,Bangladesh,,
158,Ashroy Foundation,"16 (14 Old), Ahsan Ahmed Road, Khulna-9100.
Phone: 041-812113, Fax: 041-
812113
www.ashroyfoundation.org",2313,03-03-08,03-03-13,03-03-18,Khulna,Bangladesh,,
159,Ashroy Mohila Samity,"Naldanga Road, Post- Naldanga, P.S. Kaliganj, Dist. Jhenidha.
Phone: 01715-671028",1876,06-10-03,06-10-13,06-10-18,Jhenaidah,Bangladesh,,
160,Ashtha Social Development Organisation,"Munshiganj, Dinajpur
Phone: 01715-269722, 8101506",1723,29-06-02,29-06-12,29-06-17,Dinajpur,Bangladesh,,
161,Asia Arsenic Network,"House-46, Road-13/C, Block-E, Banani, Dhaka-1213.
Phone: 9894493, Fax: 9894493",1609,16-01-01,16-01-11,16-01-16,Dhaka,Japan,,
162,Asian Disaster Preparedness Centre,"House-344/4 (3rd Floor), lane-11, Baridhara, Dhaka.",2641,10-05-11,,10-05-16,Dhaka,Thailand,,
163,Asian Industrial and Technical Development Association (AITDA),"House # 1/E, Road # 2, Sector # 3, Uttara, Dhaka
Phone : 231669",0752,18-09-93,18-09-03,18-09-08,Dhaka,Japan,,
164,Asian Institute of Millennium Environment and Development (AIMED),"Suite No.- 6 (2nd Floor), Banani Super Market, Kamal Ataturk Avenue, Banani, Dhaka.",2128,22-08-06,,22-08-11,Dhaka,Bangladesh,,
165,Asiatic Society of Bangladesh,"5 Old Secretariat Road, Nimtola, Ramna, Dhaka.",2038,19-07-05,,19-07-10,Dhaka,Bangladesh,,
166,Aso Gori Sonar Bangla,"Housing Gate, P.O:Hanail, Joypurhat Phone: 0571-63207",1804,03-10-03,10-03-13,10-03-18,Joypurhat,Bangladesh,,
167,Aspada Paribesh Unnayan Foundation,"Shapna Kutir, G/23, Bhaluka Pourashaba, Bhaluka, Mymensingh.",2394,19-11-08,19-11-13,19-11-18,Mymensingh,Bangladesh,,
168,Asrayyan Sheba Sangstha (ASS),"Puraton Bus Stand, Main Road, PO: Monirampur, UZ: Monirampur, Dist: Jessore.
Phone: 04227-78318",2099,05-06-06,05-06-11,05-06-16,Jessore,Bangladesh,,
169,Assemblies of God Mission,"401/1, New Eskaton Road, Dhaka Phone :8316452, Fax: 8313978",0107,03-09-81,16-05-11,16-05-16,Dhaka,USA,,
170,Assistance for Blind Children (ABC),"47/14, Indira Road, West Razabazar, Tejgaon, Dhaka-1215.
Phone: 8119320, Fax: 8119320
www.abcchild.org",0012,22-04-81,15-05-10,15-05-15,Dhaka,Bangladesh,,
171,Assistance for Development Programme (ADP),"House-298 (G. Floor), Road-02, Baitul Aman Housing Society, Adabor, Shaymoli, Dhaka-1207 Phone: 8121826",1004,03-02-96,03-02-11,03-02-16,Dhaka,Bangladesh,,
172,Assistance for Humanitarian Development (AHD),"House-24, Road-07, Senpara Parbata, Mirpur-10, Dhaka. Phone: 9016185",1485,16-02-00,16-02-15,16-02-20,Dhaka,Bangladesh,,
173,Assistance for Poor Peoples of Bangladesh (APPB),"Vill.: Uttar Sujalpur, Post+Upazila: Birgonj, Dist. Dinajpur",1996,11-01-05,,11-01-10,Dinajpur,Bangladesh,,
174,Assistance for Social Organisation & Development (ASOD),"Gazi Khurshid Bay, 814-A, Block-B, Lalmatia, Dhaka.
Phone: 9119091 www.asod.bd.com",0363,03-03-90,03-03-10,03-03-15,Dhaka,Bangladesh,,
175,Assistance for the Livelihood of the Origins (ALO),"Pankhaiapara, Post Box No. 19, Khagrachari Sadar, Dist: Khagrachari.
Phone: 0371-62067, Fax: 0371-
62559",2225,18-04-07,18-04-12,18-04-17,Khagrachari,Bangladesh,,
176,Associate Social Improvement Foundation (ASIF),"Police Line Road, Kumerkhali, Pirojpur.
Phone: 01684-008777",2971,28-09-15,,28-09-20,Barisal,Bangladesh,,
177,Associates in Community and Rural Development (ACORD),"Anarkoli Road, Tongi Bazar, Tongi, Gazipur",0636,11-07-92,11-07-97,11-07-02,Gazipur,Bangladesh,,
178,Associates In Training And Management (AITAS),"House No. 45, Road-02, Ring Road, Mohammadpur, Dhaka.
Phone : 9121828, 8112479",1201,20-10-97,20-10-12,20-10-17,Dhaka,Bangladesh,,
179,Association for Alternative Development (AFAD),"R.K. Road, Khalilganj Bazar, Kurigram
Phone: 0581-61249",2443,26-05-09,26-05-14,26-05-19,Kurigram,Bangladesh,,
180,Association for Bangladesh Integrated Rural Development (ABIRD),"Suit-7/30(6th floor), Eastern Plaza), Sonargaon Road,Hatirpal, Dhaka.",1582,07-11-00,,07-11-05,Dhaka,Bangladesh,,
181,Association for Bangladesh Social Advancement (ABSA),"Vill- Latifpur, PO- Jamindar Hat, PS- Begumgonj, Dist. Noakhali.
Phone: 01716-629299",1817,20-04-03,20-04-13,20-04-18,Noakhali,Bangladesh,,
182,Association for Better Social Expectation,"1143, Nurer Chala, Boatgate Road, Vatara, Badda, Dhaka
Phone: 01914-385138",2973,28-09-15,,28-09-20,Dhaka,Bangladesh,,
183,Association for Community Development,"House # 41, Sagarpara, Ghoramara, Rajshahi-6100
Phone : 0721-770660, Fax: 775383",0415,02-12-90,02-12-10,02-12-15,Rajshahi,Bangladesh,,
184,"Association for Development
& Social Work","16/1-B, Talabagh, Sobhanbagh, Dhaka
Phone: 01819-270208",2893,25-09-14,,25-09-19,Dhaka,Bangladesh,,
185,Association for Disaster Mitigation & Development,"95/2, Siddeshwari Circular Road (4th floor), Dhaka.
Phone : 9333535",0740,02-09-93,02-09-13,02-09-18,Dhaka,Bangladesh,,
186,Association for Environment and Human Resource Development,"68, Khilgaon Chowdhurypara (4th Fl.), Dhaka-1219
Phone: 9352792, Fax: 9352792
www.afeahrd.org",1887,13-11-03,13-11-13,13-11-18,Dhaka,Bangladesh,"Cancelled on 09/08/2010,
Revived on 23/12/2010",
187,Association for Initiatives of Development (AFID),"55, Purana Paltan, Dhaka. Phone : 9557223",1784,01-08-03,,01-08-08,Dhaka,Bangladesh,,
188,Association for Integrated Development (AID),"Haji Koramot Ali Super Market, Kodomtola, Tajpur, Osmaninagor, Sylhet
Phone: 0821-761448, Fax: 0821-
761526",1216,19-11-97,19-11-13,19-11-18,Sylhet,Bangladesh,"Cancelled on 13/04/2010,
Revived on 22/04/2012",
189,Association For Integrated Development Comilla,"Vill.: Rajapur, Post: Raghupur, Comilla Sadar, Comilla.
Phone: 081-72003, Fax: 081-62444
www.aidcomilla.com",1145,17-03-97,17-03-12,17-03-17,Comilla,Bangladesh,,
190,Association for Integrated Human Development (AIHD),"Mosuriapara, House-127, Isha Khan Road, Iswardi, Pabna
Phone: 01711-134932",2233,23-05-07,23-05-13,23-05-18,Pabna,Bangladesh,,
191,Association for Integrated Socio Economic Development for Under Privileged People (AISDUP),"Rokeya Manjil Puratan Hatkhola Chaklapara, Jhenidha
Phone : 0451-62616, Fax: 0451-
61468",1858,22-07-03,22-07-13,22-07-18,Jhenaidah,Bangladesh,,
192,Association for Land Reform and Development,"10/11, Iqbal Road, Block-A, Mohammadpur, Dhaka
Phone : 9114660, Fax: 8141810",0570,08-12-91,08-12-11,08-12-16,Dhaka,Bangladesh,,
193,Association for Legal Aid to Poor (ALAP),"3/16, Iqbal Road, Muhammadpur, Dhaka",0367,03-03-90,,03-03-95,Dhaka,Bangladesh,,
194,Association for Local Innovation and Advancement (ALIA),"House-165, Block-B, Eastern Housing Pallabi, Phase-2, Dhaka. Phone: 8024220, 01711-007821",1951,17-08-04,17-08-14,17-08-19,Dhaka,Bangladesh,,
195,Association for Love the Children,"70 D/1 Indira Road, Tejgaon, Dhaka Phone : 9123396",1460,27-12-99,,27-12-04,Dhaka,Bangladesh,,
196,Association for Nutritional Development & Rural Advancement (ANDRA),"House-27, Road-12, Sector-03, Uttara, Dhaka
Phone: 01729-860251",2901,21-10-14,,21-10-19,Dhaka,Bangladesh,,
197,Association for Pisciculture and Cattle Development (APCD),"Guatala Bazar, Guatala, UZ: Dhobaura, Dist: Mymensingh Phone: 01711-173318",1335,12-01-99,12-01-14,12-01-19,Mymensingh,Bangladesh,"Cancelled on 11/07/2010,
Revived on 11/04/2012",
198,"Association for Prevention of Septic Abortion, Bangladesh.","House # 71, Block # C, Avenue # 5, Section # 6, Mirpur, Dhaka.
Phone : 8012392 www.bapsa-bd.org",0203,23-01-86,23-01-16,23-01-21,Dhaka,Bangladesh,,
199,Association for Realisation of Basic Needs (ARBAN),"6/2, Lalmatia (2nd Fl.), Block-B, Mohammadpur, Dhaka-1207  Phone: 01917-705600, Fax: 8122250",0288,16-03-89,16-03-14,16-03-19,Dhaka,Bangladesh,,
200,Association for Renovation of Community Health Education Services(ARCHES),"House # 72 (4th Floor), Road-03, Janata Co-operation Housing Society Ltd., Adabore, Dhaka-1207 Phone : 0751-64364",0418,19-12-90,19-12-15,19-12-20,Dhaka,Bangladesh,,
201,Association for Rights & Peace,"Raniganj Bazar Road, Dinajpur. Phone: 01793-2254874",2909,30-12-14,,30-12-19,Dinajpur,Bangladesh,,
202,Association for Rural Advancement in Bangladesh(ARAB),"Bautha Road, Manikganj Town, Manikganj.
Phone: 0651-61264, Fax: 0651-
62086",1205,23-10-97,23-10-12,23-10-17,Manikganj,Bangladesh,,
203,Association for Rural Development (ARD),"Patil Bari Road, Narsingdi Phone : 63465",0887,09-01-95,09-01-05,09-01-10,Narsingdhi,Bangladesh,,
204,Association for Rural Development (ARD) Gazipur,"House-151, Block-C, South Chayabithi, Dist: Gazipur-1700 Phone : 9262446, 01819237065,
Web:www.ardbd.org",1323,15-12-98,15-12-13,15-12-18,Gazipur,Bangladesh,"Cancelled on 25/10/2010,
Revived on 26/01/2015",
205,Association for Rural Distress People (ARDP),"79 Middle Pirerbag, Mirpur, Dhaka- 1216.
Phone: 8012628",2355,05-05-08,05-05-13,05-05-18,Dhaka,Bangladesh,,
206,Association for Rural Peoples Advancement (ARPA),"Vill: Kamardiar, PO: Natore, Dist: Natore
Phone: 01712-270784
www.arpa.org.bd",2908,29-12-14,,29-12-19,Natore,Bangladesh,,
207,Association for Rural Poor,"1074, Karam Patty, P.O.: Kishorganj, Dist: Kishorganj.
Phone: 01711-383828",1703,27-11-01,27-11-11,27-11-16,Kishorganj,Bangladesh,,
208,Association for Rural Society- ARS,"House-Y/15, (Groud Floor) Razia Sultana Road, Mohammadpur, Dhaka
Phone: 8153143 www.arsbd.org",2426,07-04-09,07-04-14,07-04-19,Dhaka,Bangladesh,,
209,Association for Sanitation and Economic Development,"206/1/Gha, Ahmed Nagar (3rd Floor), Paikpara, Mirpur-1, Dhaka- 1216.",2062,25-01-06,25-01-11,25-01-16,Dhaka,Bangladesh,,
210,Association for Social Action and Improvment (ASAI),"Chottor Noyapara (Salna Road), Shimultoli, Sadar, Gazipur-1703 Phone: 9204821, Fax: 9204821",1891,07-12-03,06-12-13,06-12-18,Gazipur,Bangladesh,,
211,Association for Social Advancement and Rural Rehabilitation (ASAR),"House-4 (1st Floor), Road-1/B, Sector-09, Uttara Model Town, Dhaka-1230
Phone: 8932409 www.asarr.com.bd",2152,05-11-06,05-11-11,05-11-16,Dhaka,Bangladesh,,
212,Association for Social Development,"73, Dhanmondi R/A, Road-8/A, Dhaka.",2213,08-03-07,,08-03-12,Dhaka,Bangladesh,,
213,Association for Social Development Organisation (ASDO),"Vill: Soverchar, PO: Gualerchar, UZ: Islampur, Dist: Jamalpur
Phone: 01713-966357",1557,21-08-00,21-08-10,21-08-15,Jamalpur,Bangladesh,"Cancelled on 13/04/2010,
Revived on 03/10/2011",
214,Association for Social Economic Development(ASED),"Noyapara, P.O. + Dist. Jamalpur.",1075,17-09-96,17-09-06,17-09-11,Jamalpur,Bangladesh,,
215,Association for Social Organisation in Paharpur (ASOP),"Vill: Ronahar, PO: A, Paharpur, UZ: Bodalgachi, Dist: Naogaon
Phone: 01715-453060",1469,18-01-00,18-01-15,18-01-20,Naogaon,Bangladesh,,
216,Association for Society Actual Development (ASAD),"Chachkoir Bazar, Gurudaspur, Natore
Phone: 07724-74357",1696,13-11-01,13-11-11,13-11-16,Natore,Bangladesh,,
217,Association for Socio Economic Advancement of Bangladesh (ASEAB),"Vill: Bharara, PO: Bhawbanga, UZ: Sadar, Pabna
Phone: 0731-51453",0950,28-06-95,28-06-15,28-06-20,Pabna,Bangladesh,,
218,Association for Sustainable and Integrated Development (ASID) Bangladesh,"House-16, Road-7/2, Section-06, Block-C, Mirpur, Dhaka-1216",2168,27-11-06,,27-11-11,Dhaka,Bangladesh,,
219,Association for the Welfare of the Disabled People (AWDP),"H-529, Rd-12, Baitul Aman Housing Society, Adabor, Shymali, Dhaka. Phone : 8124632",1191,05-10-97,,05-10-02,Dhaka,Bangladesh,,
220,Association for Underprivileged Peoples Education and Welfare Programme (AUPEWP),"House-44, road-12, DIT Project Merul Badda, Dhaka-1212.
Phone: 8836856",1692,04-11-01,04-11-11,04-11-16,Dhaka,Bangladesh,,
221,Association for Urban and Rural Development (AURD),"Asa Market(1st floor), RK Mission Road, Habiganj",1702,27-11-01,,27-11-06,Habiganj,Bangladesh,,
222,Association for Village Advancement (AVA),"11/A, Jahra Monjil, Mujte Sarak, Faridpur.
Phone: 0631-64682",0216,24-02-87,14-02-12,14-02-17,Faridpur,Bangladesh,,
223,Association for Women Empowerment and Child Rights (AWAC),"House-13, Road-01, Block-B, Chandgaon R/A, Diat: Chittagong Phone: 031-251901
www.awac-bd.org",2182,11-01-07,15-01-12,15-01-17,Chittagong,Bangladesh,,
224,Association of Baptist,"7, Rashik Hazari Lane, Chawk Bazar, Chittagong
Phone : 624174, 610548",0042,22-04-81,15-05-15,15-05-20,Chittagong,USA,,
225,Association of Development Agencies in Bangladesh (ADAB),"House-13/Ka (2nd Floor), Road,-02, Shyamoli, Dhaka-1207
Phone: 9126358",0113,17-01-81,15-05-15,15-05-20,Dhaka,Bangladesh,,
226,Association of Development for Economic & Social Help (ADESH),"House-Priya-5/2, Block-C, Anandapur City Love, Saver, Dhaka Phone :7745150, Fax: 7745150
Mobile :01713-000210
www.adesh.bd.org",0595,03-02-92,03-02-12,03-02-17,Dhaka,Bangladesh,,
227,Association of Grassroots Women Entrypreneurs Bangladesh (AGWEB),"BGIC Tower (7th Floor), 34, Topkhana Road, Dhaka, Phone: 9556443",2994,20-01-16,,20-01-21,Dhaka,Bangladesh,,
228,Association of Human Development Program (AHDP),"Jahangir Tower (7th Floor), 10, Kawran Bazar, Dhaka-1215.",1853,03-07-03,03-07-08,03-07-13,Dhaka,Bangladesh,,
229,Association of Local Internal Vision Enlightenment (ALIVE),"Ukilpara, Arappur, Jhenaidah-7300 Phone: 0451-61242
www.alvie.ngobd.goolepages.org",2331,07-04-08,07-04-13,07-04-18,Jhenaidah,Bangladesh,,
230,Association of Medical Doctors for Asia (AMDA),"House-27, Road-114, Gulshan, Dhaka
Phone : 8827575",0657,20-10-92,20-10-07,20-10-12,Dhaka,Japan,,
231,Association of the Welfare of Disabled Children,"House # 9, Road # 101, Gulshan, Dhaka.",1108,11-12-96,,11-12-01,Dhaka,Bangladesh,,
232,Association of Voluntary Action for Society (AVAS),"AVAS Bhaban, Amir Kutir Lane, Alekanda, Barisal-8200
Phone: 0431-2173131",1600,17-12-00,17-12-15,17-12-20,Barisal,Bangladesh,,
233,Association of Volunteers for Rural Dev. of Bangladesh,"Sukhi Nilganj, Kathipara, Bakerganj, Barisal",0274,15-11-88,,15-11-93,Barisal,Bangladesh,,
234,Association of Workers For Alternative Rural Development (AWARD),"House-19, Road-38, Block-C, Shahjalal Upashahr, Sylhet-3100 Phone: 01716-782719",1590,29-11-00,29-11-15,29-11-20,Sylhet,Bangladesh,"Cancelled on 13/04/2010,
Revived on 18/01/2015",
235,Association of Zonal Approach Development (AZAD),"Khurushkul, Cox's Bazar. Phone: 01845-223505",1083,13-10-96,13-10-11,13-10-16,Cox'sBazar,Bangladesh,,
236,Aste Aste Ogrogoti,"Masuadanga, Tilok, Rupsha, Khulna Phone: 01715-771591",2845,18-12-13,,18-12-18,Khulna,Bangladesh,,
237,ASTHA (An Association of Rural Development & Authentic Help),"19, Girls School Road, Amlapara, Bagerhat.
Phone: 0468-62880",2530,18-01-10,,18-01-15,Bagerhat,Bangladesh,,
238,Atma Biswas,"Vill: Cinema Hall Para, P.P.: Chuadanga, UZ: Chudanga, Dist: Chuadanga.
Phone: 0761-63828, Fax: 0761-
63828",0990,16-11-95,16-11-15,16-11-20,Chuadanga,Bangladesh,,
239,Atmanirvarshil Samaj Unnayan Protisthan (ASUP),"Sawyabazar, P.O. Palima, Tangail",0642,30-07-92,30-07-07,30-07-12,Tangail,Bangladesh,,
240,Attma Shahajjo Karmasuchi,"Shahid Fazlu Sharak, Pirojpur Phone: 01717-008968",2980,04-11-15,,04-11-20,Pirojpur,Bangladesh,,
241,Aungkur Palli Unnayan Kendra,"Vill. Sreenathdi, P.O. Datta Kendua,
P.S. & Dist. Madaripur Phone: 01711-548762",0711,06-06-93,06-06-13,06-06-18,Madaripur,Bangladesh,,
242,Aungon Mohila Sangstha,"Vill: South Topkhola, PO & PS: Faridpur, Dist: Faridpur Phone: 01938-067078",2974,05-10-15,,05-10-20,Faridpur,Bangladesh,,
243,Aurovindo Shishu Hospital,"Gashipara, Dinajpur",1455,08-02-99,,08-02-04,Dinajpur,Bangladesh,,
244,Austcare,"Niribili Pital Building (1st Floor), House-49, Block-B, Soykat R/A, Cox'sBazar",2382,31-07-08,,31-07-13,Cox'sBazar,Australia,,
245,Austha Manabik Unnayan Kendra,"48/13-A R.K. Mission Road, Dhaka. Phone: 01711-526865",2696,22-05-12,,22-05-17,Dhaka,Bangladesh,,
246,"Australian Baptist Misionary Society, The","Jarina Cottage, 110, Monipuripara, Gate-01, Tejgaon, Dhaka-1215 Phone: 9102325, Fax: 9102324",0093,22-04-81,15-05-15,15-05-20,Dhaka,Australia,,
247,Ava Development Society,"Gopalpur, P.O. Gopalpur, PS: Lalpur, Dist.: Natore
Phone: 07725-75202
www.ava.org.bd",2557,04-04-10,04-04-15,04-04-20,Natore,Bangladesh,,
248,Awaj Foundation,"House-61/1 (3rd Floor), New Airport Road, Mohakhali, Dhaka-1212.
Phone: 8834042",2363,22-05-08,22-05-13,22-05-18,Dhaka,Bangladesh,,
249,Ayesha Abed Foundation,"75, BRAC Centre, Mohakhali C/A., Dhaka
Phone : 9881265",0141,18-04-83,15-05-01,15-05-06,Dhaka,Bangladesh,,
250,AYON,"Thakurgaon Pourashava Bhabon, Thakurgaon
Phone : 01714-383688",0558,12-11-91,12-11-11,12-11-16,Thakurgaon,Bangladesh,,
251,Azad Unnayan Sangstha,"Vill: Latabaria, P.O. Latabaria, Upazila+Dist.:Barguna.
Phone: 01703-657936",2534,31-01-10,31-01-15,31-01-20,Barguna,Bangladesh,,
252,Badda Self Helf Centre,"G.P. Cha-63/5, Uttar Badda, Badda, Dhaka-1212.
Phone : 018-30995",0311,29-07-89,27-07-04,27-07-09,Dhaka,Bangladesh,,
253,Badhu Mata Seba Samity,"East Burgona Road, Barisal",1071,05-09-96,05-09-01,05-09-06,Barisal,Bangladesh,,
254,Badiakhali Dustha Mata Mohila Samity,"Vill: Taluk Rifaithpur, PO: Badiakhali, Gaibandhal.
Phone: 01724-162319",0865,08-10-94,08-10-14,08-10-19,Gaibandha,Bangladesh,,
255,Badiakhali Tran & Punorbasan Sangstha,"Village: Refaithpur, PO: Badiakhali, Dist: Baibandha.
Phone: 01713-002759",2768,27-02-13,,27-02-18,Gaibandha,Bangladesh,,
256,Baghni Nivedita Manchya,"Bus Stand Road, Keshabpur, P.O.+Thana: Keshabpur, Jessore Phone: 04226, 56542, Fax: 04226-
56561
01711-000612",0757,18-10-93,18-10-13,18-10-18,Jessore,Bangladesh,,
257,Bahumukhi Desh Unnayan Sangsad,"Ellenga Bazar, Krishi Bank, P.O; Ellenga, Thana: Kalihati, Tangail.",1715,13-05-02,15-05-07,15-05-12,Tangail,Bangladesh,,
258,Bahumukhi Milon Sangha,"Natun Bazar, Parbatipur, Dinajpur Phone : 6379",0304,12-07-89,,12-07-94,Dinajpur,Bangladesh,,
259,Bahumukhi Mohila Unnayan Samity,"Chapai Nababganj Antaral Huzrapur, Thana & Dist. Nababganj",0854,31-08-94,,31-08-99,Chapainababga nj,Bangladesh,,
260,Bahumukhi Unnayan Society,"Vill. Nabagram, P.O. Shashikar, P.S. Kalkini, Dist: Madaripur
Phone: 01711-425233",0279,29-11-88,29-01-13,29-01-18,Madaripur,Bangladesh,,
261,Bakergonj Forum,"BGF Center, Rahamganj, Bakerganj, Barisal
Phone: 0438-74123",2602,11-10-10,11-10-15,11-10-20,Barisal,Bangladesh,,
262,BALAKA,"Vill+PO: Enayetpur, Dist. Sirajgonj.",0802,13-02-94,13-02-14,13-02-19,Sirajganj,Bangladesh,,
263,Balanced Economic & Social Development Association(BESDA),"34, Baira, Mai Road, Sonadanga, Khulna.
Phone: 0172729078",2731,24-09-12,,24-09-17,Khulna,Bangladesh,,
264,Balipara Nari Kallyan Samity (BNAS),"Ujanipara, Bandarban Sadar, Bandarban.
Phone: 0361-62944, 63179",1656,19-08-01,19-08-11,19-08-16,Bandarban,Bangladesh,,
265,Banaful Social Welfare Organisation,"Chowdhury Tower (1st Floor), Mohammadpur, Chittagong-4212 Phone: 031-652822, Fax: 031-
2550727",0199,23-01-86,15-05-15,15-05-20,Chittagong,Bangladesh,,
266,Banchte Chai Samaj Unnayan Samity,"Vill+PO: Laxmipur, UZ: Atghoria, Pabna
Phone: 0731-64935",0700,22-04-93,22-12-13,22-12-18,Pabna,Bangladesh,,
267,Banchte Shekha (BS),"Shaheed Mashiur Rahman Road, Arabpur, Jessore-7400
Phone: 0421-66436, Fax: 0421-
68884
web: www.banchteshekha.org",0146,06-07-83,15-05-15,15-05-20,Jessore,Bangladesh,,
268,Bandan Samaj Unnayan Sangstha,"Hossainpur, J.B., Road, Sirajganj. Phone: 01715-549658",2790,30-05-13,,30-05-18,Sirajganj,Bangladesh,,
269,Bandan Society,"Moksedpur, Dist: Kishorgonj. Phone: 01725-842587, 0941-61519",2606,01-11-10,01-11-15,01-11-20,Kishorganj,Bangladesh,,
270,Bandhan Bahumukhi Samajik Unnayan Sangstha,"P.O: Annadanagar, Thana: Pirganj, Rangpur",1448,29-11-99,,29-11-04,Rangpur,Bangladesh,,
271,"Bandhan, Noakhali","Vill: Sonapur, PO: Sonapur, Upazilla: Sadar, Dist: Noakhali-3802
Phone: 0321-61241",0166,22-04-84,15-05-15,15-05-20,Noakhali,Bangladesh,,
272,Bandhan'79,"Vill.: Dhandhania, Post+Upazilla: Bogra
District: Bogra.",2039,05-09-05,,05-09-10,Bogra,Bangladesh,,
273,Bandhu Social Welfare Society,"99 Kakrail, Dhaka-1000
Phone : 9339898, 9356868
Fax: 9330148
www.bandhu-bd.org",1225,11-12-97,11-12-12,11-12-17,Dhaka,Bangladesh,,
274,Banga Jananee (BJ),"Gurudaspur, Natore",0773,11-11-93,11-11-98,11-11-03,Natore,Bangladesh,,
275,Bangali Foundation,"College Para, Chowgacha, Jessore. Phone: 01711-363797",2526,13-01-10,13-01-15,13-01-20,Jessore,Bangladesh,,
276,Bangio Sangskritic Chakra (BSC),"13/B, 5/20, Mirpur, Dhaka-1221",0593,02-02-92,02-02-97,02-02-02,Dhaka,Bangladesh,,
277,Bangla Hope,"Vill: Hazrapur, Mazina, Panchbibi, Joypur.
Phone: 01741-339765",1973,25-10-04,25-10-14,25-10-19,Joypurhat,Bangladesh,,
278,Bangladesh '2000,"Block # 95, Baridhara Model Town, Progati Sarani, Dhaka -",0777,16-11-93,,16-11-98,Dhaka,Bangladesh,,
279,Bangladesh Academy for Agriculture,"11/8, Iqbal Road, Mohammadpur Dhaka",1368,13-04-99,13-04-04,13-04-09,Dhaka,Bangladesh,,
280,Bangladesh Agricultural Working Peoples Association (BAWPA),"11/2, Joynag Road, Bakshibazar, Dhaka
Phone: 9664524",0637,28-07-92,28-07-12,28-07-17,Dhaka,Bangladesh,,
281,Bangladesh Aids Prevention Society (BAPS),"8/1, New Circular Road (1st Fl.), West Malibah, Dhaka-1000 Phone: 9344745",1753,28-10-02,28-10-12,28-10-17,Dhaka,Bangladesh,,
282,Bangladesh Alliance for Social Equity Foundation,"151/3, Monipuri Para (3rd Floor), Tejgaon, Dhaka
Phone: 01766-684239",2987,12-11-15,,12-11-20,Dhaka,Bangladesh,,
283,Bangladesh Alliance for Women Leadership,"The Reveee, Flat-C, House-11, Road- 33, Gulshan, Dhaka.
Phone: 985308, Fax: 9855306
www.bdawl.com",2603,12-10-10,12-10-15,12-10-20,Dhaka,Bangladesh,,
284,Bangladesh Association for Community Education (BACE),"50, Purana Polton Line, Dhaka Phone : 9355173, Fax: 9345173
www.bacebd.org",0089,22-04-81,15-05-15,15-05-20,Dhaka,Bangladesh,,
285,Bangladesh Association for Maternal & Neonatal Health (BAMANEH),"13/3, Shyamoli, Road-2, Dhaka-1207 Phone: 9111168",0116,14-01-82,15-05-15,15-05-20,Dhaka,Bangladesh,,
286,Bangladesh Association for Social Advancement (BASA),"H-247, Rd-18, New DOHS,
Mohakhali, Dhaka. Phone : 9862464
Fax: 9880957
www.basango.org",0622,01-06-92,01-06-12,01-06-17,Dhaka,Bangladesh,,
287,Bangladesh Association for Social and Economic Development (BASED),"House-105, Road-7, Sector-4, Uttara, Dhaka",1554,16-08-00,,16-08-05,Dhaka,Bangladesh,,
288,Bangladesh Association for Sustainable Development,"110- Monipuripara (1st Floor), Tejgaon, Dhaka-1215.
Phone: 9102326, Fax: 9102324
website: basdbd.org",0886,09-01-95,09-01-15,09-01-20,Dhaka,Bangladesh,,
